x-axis,1,2
second,Volt,Volt
+1.8400000E+00,,
+1.8406510E+00,,
+1.8413021E+00,,
+1.8419531E+00,,
+1.8426042E+00,,
+1.8432552E+00,,
+1.8439063E+00,,
+1.8445573E+00,+351.6665E-03,+4.9947628E+00
+1.8452083E+00,+351.2846E-03,+4.9947628E+00
+1.8458594E+00,+351.1640E-03,+4.9947628E+00
+1.8465104E+00,+350.6614E-03,+4.9947628E+00
+1.8471615E+00,+350.1589E-03,+4.9947628E+00
+1.8478125E+00,+349.7770E-03,+4.9950643E+00
+1.8484635E+00,+349.6564E-03,+4.9960191E+00
+1.8491146E+00,+349.1539E-03,+4.9957176E+00
+1.8497656E+00,+348.7720E-03,+4.9947628E+00
+1.8504167E+00,+348.6514E-03,+4.9947628E+00
+1.8510677E+00,+348.2695E-03,+4.9947628E+00
+1.8517188E+00,+348.2695E-03,+4.9947628E+00
+1.8523698E+00,+348.1489E-03,+4.9947628E+00
+1.8530208E+00,+347.7670E-03,+4.9944613E+00
+1.8536719E+00,+347.7670E-03,+4.9935065E+00
+1.8543229E+00,+347.6464E-03,+4.9935065E+00
+1.8549740E+00,+347.2645E-03,+4.9935065E+00
+1.8556250E+00,+347.2645E-03,+4.9935065E+00
+1.8562760E+00,+347.2645E-03,+4.9935065E+00
+1.8569271E+00,+347.2645E-03,+4.9935065E+00
+1.8575781E+00,+347.2645E-03,+4.9935065E+00
+1.8582292E+00,+347.2645E-03,+4.9935065E+00
+1.8588802E+00,+347.2645E-03,+4.9935065E+00
+1.8595313E+00,+347.1439E-03,+4.9935065E+00
+1.8601823E+00,+346.7619E-03,+4.9935065E+00
+1.8608333E+00,+346.7619E-03,+4.9935065E+00
+1.8614844E+00,+346.7619E-03,+4.9935065E+00
+1.8621354E+00,+346.7619E-03,+4.9935065E+00
+1.8627865E+00,+346.7619E-03,+4.9935065E+00
+1.8634375E+00,+346.7619E-03,+4.9935065E+00
+1.8640885E+00,+346.7619E-03,+4.9935065E+00
+1.8647396E+00,+346.6413E-03,+4.9935065E+00
+1.8653906E+00,+346.2594E-03,+4.9935065E+00
+1.8660417E+00,+346.2594E-03,+4.9935065E+00
+1.8666927E+00,+346.2594E-03,+4.9935065E+00
+1.8673438E+00,+346.2594E-03,+4.9935065E+00
+1.8679948E+00,+346.2594E-03,+4.9935065E+00
+1.8686458E+00,+346.2594E-03,+4.9935065E+00
+1.8692969E+00,+346.2594E-03,+4.9935065E+00
+1.8699479E+00,+346.2594E-03,+4.9935065E+00
+1.8705990E+00,+346.2594E-03,+4.9935065E+00
